2026-01-09 00:28:33.456802 | Samples: 40 | Loss: 0.1324 | LR: 4.37e-05
2026-01-09 00:29:30.987873 | Samples: 40 | Loss: 0.1216 | LR: 4.36e-05
2026-01-09 00:30:27.245295 | Samples: 40 | Loss: 0.1108 | LR: 4.36e-05
2026-01-09 00:31:25.552374 | Samples: 40 | Loss: 0.1100 | LR: 4.35e-05
2026-01-09 00:32:20.286819 | Samples: 40 | Loss: 0.1506 | LR: 4.35e-05
2026-01-09 00:33:17.086685 | Samples: 40 | Loss: 0.1091 | LR: 4.34e-05
2026-01-09 00:34:12.901521 | Samples: 40 | Loss: 0.1077 | LR: 4.34e-05
2026-01-09 00:35:03.827923 | Samples: 40 | Loss: 0.1373 | LR: 4.33e-05
2026-01-09 00:35:55.545383 | Samples: 40 | Loss: 0.1252 | LR: 4.33e-05
2026-01-09 00:36:46.129985 | Samples: 40 | Loss: 0.1263 | LR: 4.32e-05
2026-01-09 00:37:40.663612 | Samples: 40 | Loss: 0.1506 | LR: 4.31e-05
2026-01-09 00:38:38.945856 | Samples: 40 | Loss: 0.0977 | LR: 4.31e-05
2026-01-09 00:39:31.906037 | Samples: 40 | Loss: 0.1411 | LR: 4.30e-05
2026-01-09 00:40:29.575877 | Samples: 40 | Loss: 0.1782 | LR: 4.30e-05
2026-01-09 00:41:21.008004 | Samples: 40 | Loss: 0.1470 | LR: 4.29e-05
2026-01-09 00:42:13.076907 | Samples: 40 | Loss: 0.1375 | LR: 4.29e-05
2026-01-09 00:43:10.019609 | Samples: 40 | Loss: 0.1431 | LR: 4.28e-05
2026-01-09 00:43:58.139124 | Samples: 40 | Loss: 0.1302 | LR: 4.28e-05
2026-01-09 00:44:57.709295 | Samples: 40 | Loss: 0.1256 | LR: 4.27e-05
2026-01-09 00:45:51.197138 | Samples: 40 | Loss: 0.1153 | LR: 4.27e-05
2026-01-09 00:46:43.508673 | Samples: 40 | Loss: 0.1346 | LR: 4.26e-05
2026-01-09 00:47:35.057043 | Samples: 40 | Loss: 0.1359 | LR: 4.25e-05
2026-01-09 00:48:28.042474 | Samples: 40 | Loss: 0.1433 | LR: 4.25e-05
2026-01-09 00:49:22.910574 | Samples: 40 | Loss: 0.1732 | LR: 4.24e-05
2026-01-09 00:50:19.827703 | Samples: 40 | Loss: 0.1350 | LR: 4.24e-05
2026-01-09 00:51:14.952563 | Samples: 40 | Loss: 0.1343 | LR: 4.23e-05
2026-01-09 00:52:09.537753 | Samples: 40 | Loss: 0.1013 | LR: 4.23e-05
2026-01-09 00:53:04.277584 | Samples: 40 | Loss: 0.1303 | LR: 4.22e-05
